pig_code,customer_group_name,period,pig_description,CentralStatus,brand,brand_quality,brand_quality_size,brand_quality_size_code,customer_groups_channel_lst,higher_channel_lst,calendar_month_abb,fiscal_year,fiscal_month,RF1,RF1_FY26,RF10,RF11,RF12,RF2,RF2_FY26,RF3,RF3_FY26,RF4,RF4_FY26,RF5,RF5_FY26,RF6,RF6_FY26,RF7,RF7_FY26,RF8,RF8_FY26,RF9,RF9_FY26
PIG001,CustomerGroup 06,2027-08-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Feb,FY27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PIG001,CustomerGroup 06,2027-09-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Mar,FY27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
PIG001,CustomerGroup 06,2027-10-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Apr,FY27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PIG001,CustomerGroup 06,2027-11-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,May,FY27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
PIG001,CustomerGroup 06,2027-12-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jun,FY27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PIG001,CustomerGroup 06,2028-01-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jul,FY28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-02-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Aug,FY28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-03-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Sep,FY28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-04-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Oct,FY28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-05-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Nov,FY28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-06-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Dec,FY28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-07-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jan,FY28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-08-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Feb,FY28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-09-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Mar,FY28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-10-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Apr,FY28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-11-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,May,FY28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2028-12-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jun,FY28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 06,2029-01-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 05,Channel 03,Jul,TBC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-01-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jul,FY24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-02-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Aug,FY24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-03-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Sep,FY24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-04-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Oct,FY24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-05-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Nov,FY24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-06-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Dec,FY24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-07-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jan,FY24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-08-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Feb,FY24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-09-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Mar,FY24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-10-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Apr,FY24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-11-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,May,FY24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2024-12-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jun,FY24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-01-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jul,FY25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-02-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Aug,FY25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-03-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Sep,FY25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-04-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Oct,FY25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-05-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Nov,FY25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-06-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Dec,FY25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-07-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jan,FY25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-08-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Feb,FY25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-09-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Mar,FY25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-10-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Apr,FY25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-11-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,May,FY25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2025-12-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jun,FY25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-01-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jul,FY26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-02-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Aug,FY26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-03-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Sep,FY26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-04-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Oct,FY26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-05-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Nov,FY26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-06-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Dec,FY26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-07-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jan,FY26,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-08-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Feb,FY26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-09-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Mar,FY26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-10-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Apr,FY26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-11-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,May,FY26,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2026-12-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jun,FY26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-01-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jul,FY27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-02-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Aug,FY27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-03-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Sep,FY27,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-04-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Oct,FY27,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-05-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Nov,FY27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-06-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Dec,FY27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-07-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jan,FY27,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-08-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Feb,FY27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-09-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Mar,FY27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-10-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Apr,FY27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-11-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,May,FY27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIG001,CustomerGroup 10,2027-12-01,Product 001,Status 07,Brand 001,Quality 005,Item 0004,BQS0029,CustomerChannel 01,Channel 01,Jun,FY27,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
